city,property_name,location,builder,price_lakhs,BHK,property_type
Hyderabad,OMER RESIDENCY,"3 BHK Flat in Salarjung Colony, Old Mumbai Highway",Bricks Ramabhupal Projects LLP,112.99999999999999,2.0,Apartment
Hyderabad,"Narayankhed, Sangareddy","Residential land / Plot in Narayankhed, Sangareddy",Sujay Infra,178.0,3.0,Apartment
Hyderabad,Safah Eminence,"3 BHK Flat in Banjara hills, Ring Road",Sri Sreenivasa Infra,250.0,4.0,Apartment
Hyderabad,"SMAK harmony,Brindavan colony","3 BHK Flat in Brindavan Colony, Toli Chowki, Old Mumbai Highway",Jain Construction,803.9999999999999,4.0,Villa
Hyderabad,Bhongir,"Residential land / Plot in Warangal highway, Hyderabad",ASBL,302.0,3.0,Apartment
Hyderabad,SHADNAGAR,"Residential land / Plot in Bangalore Highway, Hyderabad",BRC Infra,401.0,4.0,Apartment
Hyderabad,Krishna Brundhavan Colony,"4 Bedroom House in Aminpur, Hyderabad",Vasavi Group,108.0,2.0,Apartment
Hyderabad,"Ibrahimpatnam, Hyderabad","Residential land / Plot in Ibrahimpatnam, Hyderabad",SRR Fortune Developers,219.0,3.0,Apartment
Hyderabad,Raasi Aspire,"3 BHK Flat in Madhapur, Hyderabad",Vertex Homes Pvt Ltd,373.0,4.0,Apartment
Hyderabad,srinavasam green vally,"3 BHK Flat in Manchirevulu, Narsingi",Idream Sai RK Infra,87.98,,Land
Hyderabad,Bhuvanagiri,"Residential land / Plot in Anantharam, Hyderabad",Prathik Developers,102.0,2.0,Apartment
Hyderabad,"Annojiguda,Ghatkesar, Hyderabad","2 Bedroom House in Annojiguda,Ghatkesar, Hyderabad",Brigade Group,412.0,3.0,Apartment
Hyderabad,Subishis Bliss Luxury Homes,"4 Bedroom House in Mokila, Hyderabad",Anvita,612.0,4.0,Apartment
Hyderabad,"Vijaypuri colony, Kothapet","3 Bedroom House in Saroor nagar, Hyderabad",Peers Constructions,183.0,3.0,Apartment
Hyderabad,Subishi Forest Edge Luxury Homes,"4 Bedroom House in Medchal, Hyderabad",Sumadhura Group,106.0,2.0,Apartment
Hyderabad,"khairatabad, Hyderabad","2 Bedroom House in khairatabad, Hyderabad",Bhashyam Developers,137.0,3.0,Apartment
Hyderabad,Hmt Sathavahana Nagar,"Residential land / Plot in Sathavahana Nagar, Kukatpally",Swagath Housing Corporation,153.0,3.0,Apartment
Hyderabad,APR Praveens Higheria,"2 BHK Flat in Patancheru, Hyderabad",Ramky Estates and Farms Hyderabad,182.0,4.0,Apartment
Hyderabad,Aspirealty Avatar,"Residential land / Plot in Srisailam Highway, Hyderabad",Modi Builders,101.0,2.0,Apartment
Hyderabad,"Mallapur, Balapur, Hyderabad","2 Bedroom House in Mallapur, Balapur, Hyderabad",Bhashyam Developers,118.0,3.0,Apartment
